converb,count,rank,,,,,,,
go,813,1,0,,,,,,
put,374,2,0.301029996,,1sd,0.418840486,,,
see,288,3,0.477121255,,2sd,0.837680972,,,
get,278,4,0.602059991,,,,,1475,6747
want,244,5,0.698970004,,,,,0.218615681,
do,196,6,0.77815125,,,,,2381,
take,188,7,0.84509804,,,,,0.352897584,
have,186,8,0.903089987,,,,,,
come,185,9,0.954242509,,,,,,
write,170,10,1,,,,,,
look,164,11,1.041392685,,,,,,
le,118,12,1.079181246,,,,,,
sit,116,13,1.113943352,,,,,,
,104,14,1.146128036,,,,,,
read,103,15,1.176091259,,,,,,
fell,96,16,1.204119983,,,,,,
happen,94,17,1.230448921,,,,,,
break,91,18,1.255272505,,,,,,
let,86,19,1.278753601,,,,,,
turn,82,20,1.301029996,,,,,,
drop,78,21,1.322219295,,,,,,
know,75,22,1.342422681,,,,,,
eat,74,23,1.361727836,,,,,,
find,74,24,1.380211242,,,,,,
hit,73,25,1.397940009,,,,,,
hurt,64,26,1.414973348,,,,,,
wan,63,27,1.431363764,,,,,,
make,59,28,1.447158031,,,,,,
need,52,29,1.462397998,,,,,,
like,49,30,1.477121255,,,,,,
fit,49,31,1.491361694,,,,,,
ride,46,32,1.505149978,,,,,,
play,45,33,1.51851394,,,,,,
wear,44,34,1.531478917,,,,,,
give,42,35,1.544068044,,,,,,
pick,42,36,1.556302501,,,,,,
pull,42,37,1.568201724,,,,,,
fix,41,38,1.579783597,,,,,,
throw,38,39,1.591064607,,,,,,
say,37,40,1.602059991,,,,,,
blow,31,41,1.612783857,,,,,,
fall,30,42,1.62324929,,,,,,
cry,28,43,1.633468456,,,,,,
open,28,44,1.643452676,,,,,,
walk,27,45,1.653212514,,,,,,
bite,27,46,1.662757832,,,,,,
push,27,47,1.672097858,,,,,,
check,26,48,1.681241237,,,,,,
keep,26,49,1.69019608,,,,,,
watch,25,50,1.698970004,,,,,,
draw,25,51,1.707570176,,,,,,
cut,25,52,1.716003344,,,,,,
miss,24,53,1.72427587,,,,,,
lose,23,54,1.73239376,,,,,,
climb,23,55,1.740362689,,,,,,
b,23,56,1.748188027,,,,,,
wake,23,57,1.755874856,,,,,,
tire,22,58,1.763427994,,,,,,
laugh,22,59,1.770852012,,,,,,
catch,22,60,1.77815125,,,,,,
wait,21,61,1.785329835,,,,,,
listen,21,62,1.792391689,,,,,,
sleep,20,63,1.799340549,,,,,,
shop,20,64,1.806179974,,,,,,
dance,20,65,1.812913357,,,,,,
move,20,66,1.819543936,,,,,,
stay,19,67,1.826074803,,,,,,
talk,18,68,1.832508913,,,,,,
drink,18,69,1.838849091,,,,,,
sing,18,70,1.84509804,,,,,,
fight,17,71,1.851258349,,,,,,
meow,17,72,1.857332496,,,,,,
touch,17,73,1.86332286,,,,,,
