,converb,count,rank
0,go,813,1
1,put,374,2
2,see,288,3
3,get,278,4
5,do,196,5
6,take,188,6
7,have,186,7
8,come,185,8
9,write,170,9
12,sit,116,10
14,read,103,11
17,break,91,12
18,let,86,13
21,know,75,14
22,eat,74,15
23,find,74,16
24,hit,73,17
25,hurt,64,18
27,make,59,19
31,ride,46,20
33,wear,44,21
34,give,42,22
38,throw,38,23
39,say,37,24
40,blow,31,25
41,fall,30,26
45,bite,27,27
48,keep,26,28
50,draw,25,29
51,cut,25,30
53,lose,23,31
56,wake,23,32
59,catch,22,33
62,sleep,20,34
68,drink,18,35
69,sing,18,36
70,fight,17,37
73,show,17,38
77,hear,14,39
79,bring,13,40
81,stand,13,41
90,think,11,42
93,tell,10,43
94,hold,10,44
95,fly,10,45
96,stick,10,46
105,leave,8,47
115,spill,7,48
119,shoot,7,49
123,dig,6,50
127,swim,6,51
131,set,6,52
136,run,5,53
141,burn,5,54
147,drive,5,55
157,buy,4,56
169,beat,3,57
170,feel,3,58
175,build,3,59
195,swing,2,60
204,send,2,61
225,grow,2,62
233,tear,1,63
270,pay,1,64
