,converb,count,rank
0,go,371,1
1,do,337,2
2,put,208,3
3,have,192,4
4,think,185,5
5,see,145,6
6,say,136,7
7,know,134,8
8,get,120,9
9,take,111,10
12,write,90,11
13,come,85,12
15,sit,69,13
16,break,64,14
19,tell,56,15
20,hurt,55,16
22,give,51,17
27,hit,39,18
28,make,39,19
29,let,39,20
31,ride,34,21
32,show,33,22
33,read,32,23
34,eat,30,24
36,throw,26,25
37,fall,26,26
39,wear,22,27
40,leave,22,28
41,bring,22,29
47,find,18,30
48,stand,17,31
49,blow,17,32
50,sleep,17,33
55,hear,15,34
57,drink,14,35
58,lose,14,36
59,bite,14,37
60,spill,13,38
63,drive,13,39
70,draw,12,40
71,stick,11,41
72,catch,11,42
73,keep,11,43
74,hold,11,44
75,fly,11,45
77,fight,11,46
78,run,11,47
79,mean,10,48
84,cut,10,49
88,buy,9,50
92,tear,9,51
94,sing,9,52
98,wake,9,53
107,feel,6,54
110,pay,6,55
118,set,5,56
120,burn,5,57
127,shoot,4,58
138,build,4,59
148,swing,3,60
149,swim,3,61
177,dig,2,62
188,meet,2,63
189,understand,2,64
194,forget,2,65
216,win,1,66
219,teach,1,67
270,sink,1,68
271,shine,1,69
274,send,1,70
275,bend,1,71
