converb,count,rank
go,65,1
want,57,2
sit,34,3
put,30,4
eat,29,5
take,26,6
get,18,7
play,17,8
moo,16,9
drink,14,10
come,13,11
think,12,12
wipe,12,13
have,12,14
run,11,15
like,11,16
do,9,17
march,8,18
spill,8,19
push,8,20
pour,8,21
see,7,22
stay,7,23
help,7,24
guess,7,25
zip,7,26
give,6,27
stand,6,28
throw,6,29
break,6,30
look,6,31
hold,6,32
ask,5,33
say,5,34
squeeze,5,35
fit,5,36
pull,5,37
make,5,38
carry,5,39
lose,4,40
walk,4,41
try,4,42
wait,3,43
untie,3,44
show,3,45
stick,3,46
zoom,3,47
grow,3,48
leave,3,49
chew,3,50
hurt,3,51
move,3,52
know,3,53
build,2,54
close,2,55
fall,2,56
tell,2,57
peek,2,58
need,2,59
open,2,60
reach,2,61
meet,1,62
truck,1,63
bring,1,64
wrap,1,65
pant,1,66
wear,1,67
watch,1,68
cau,1,69
climb,1,70
urinate,1,71
rain,1,72
turn,1,73
diaper,1,74
touch,1,75
set,1,76
dump,1,77
ride,1,78
fell,1,79
suit,1,80
bite,1,81
jack,1,82
jump,1,83
scream,1,84
screw,1,85
let,1,86
shake,1,87
point,1,88
