converb,count,rank
have,111,1
do,110,2
go,104,3
think,104,4
put,82,5
see,75,6
want,50,7
like,42,8
take,39,9
say,38,10
get,33,11
come,32,12
know,29,13
look,28,14
sit,26,15
eat,26,16
play,24,17
hear,21,18
try,17,19
ask,16,20
ride,15,21
happen,15,22
spill,14,23
help,13,24
bring,12,25
make,12,26
wipe,12,27
give,12,28
find,11,29
drink,10,30
break,8,31
show,8,32
matter,8,33
leave,8,34
finish,8,35
tell,8,36
fit,7,37
march,7,38
cover,7,39
let,7,40
squeeze,6,41
need,6,42
time,6,43
turn,6,44
open,6,45
pour,6,46
moo,6,47
run,5,48
peek,5,49
throw,5,50
cry,5,51
diaper,4,52
scrub,4,53
hurt,4,54
walk,4,55
carry,4,56
tire,4,57
wait,4,58
push,4,59
splash,4,60
move,4,61
fell,4,62
stay,3,63
pull,3,64
talk,3,65
save,3,66
rain,3,67
tumble,3,68
untie,3,69
whisper,3,70
rid,3,71
zipper,3,72
drive,3,73
miss,3,74
grow,3,75
listen,3,76
belong,3,77
hold,3,78
chew,3,79
pack,3,80
dry,3,81
touch,2,82
stick,2,83
bless,2,84
start,2,85
stand,2,86
call,2,87
dump,2,88
forget,2,89
build,2,90
shy,2,91
change,2,92
fall,2,93
wear,2,94
keep,2,95
pretend,2,96
wrap,2,97
work,2,98
whimper,2,99
lose,2,100
juice,2,101
saw,2,102
scream,2,103
water,1,104
bite,1,105
blow,1,106
bend,1,107
wish,1,108
brush,1,109
unzipper,1,110
zip,1,111
use,1,112
comb,1,113
tie,1,114
dance,1,115
pick,1,116
dirty,1,117
tease,1,118
puddle,1,119
notice,1,120
name,1,121
reach,1,122
ready,1,123
remember,1,124
rest,1,125
mean,1,126
sand,1,127
jump,1,128
screw,1,129
hurry,1,130
set,1,131
shake,1,132
shout,1,133
guess,1,134
fix,1,135
pat,1,136
stop,1,137
swallow,1,138
taste,1,139
answer,1,140
