,converb,count,rank
0,go,65,1
2,sit,34,2
3,put,30,3
4,eat,29,4
5,take,26,5
6,get,18,6
9,drink,14,7
10,come,13,8
11,think,12,9
13,have,12,10
14,run,11,11
16,do,9,12
18,spill,8,13
21,see,7,14
26,give,6,15
27,stand,6,16
28,throw,6,17
29,break,6,18
31,hold,6,19
33,say,5,20
37,make,5,21
39,lose,4,22
44,show,3,23
45,stick,3,24
47,grow,3,25
48,leave,3,26
50,hurt,3,27
52,know,3,28
53,build,2,29
55,fall,2,30
56,tell,2,31
61,meet,1,32
63,bring,1,33
66,wear,1,34
75,set,1,35
77,ride,1,36
80,bite,1,37
85,let,1,38
86,shake,1,39
