,converb,count,rank
0,have,111,1
1,do,110,2
2,go,104,3
3,think,104,4
4,put,82,5
5,see,75,6
8,take,39,7
9,say,38,8
10,get,33,9
11,come,32,10
12,know,29,11
14,sit,26,12
15,eat,26,13
17,hear,21,14
20,ride,15,15
22,spill,14,16
24,bring,12,17
25,make,12,18
27,give,12,19
28,find,11,20
29,drink,10,21
30,break,8,22
31,show,8,23
33,leave,8,24
35,tell,8,25
39,let,7,26
47,run,5,27
49,throw,5,28
53,hurt,4,29
72,drive,3,30
74,grow,3,31
77,hold,3,32
82,stick,2,33
85,stand,2,34
88,forget,2,35
89,build,2,36
92,fall,2,37
93,wear,2,38
94,keep,2,39
99,lose,2,40
104,bite,1,41
105,blow,1,42
106,bend,1,43
125,mean,1,44
130,set,1,45
131,shake,1,46
