converb,count,rank
read,11,1
put,10,2
get,8,3
make,6,4
hold,6,5
do,6,6
set,5,7
buy,5,8
see,5,9
scoot,4,10
bite,4,11
give,4,12
dog,3,13
fix,3,14
look,3,15
wipe,3,16
go,2,17
find,2,18
hide,2,19
eat,2,20
fell,2,21
seed,2,22
brush,2,23
bring,2,24
say,1,25
move,1,26
rid,1,27
sit,1,28
pour,1,29
take,1,30
want,1,31
pick,1,32
need,1,33
baby,1,34
moo_moo,1,35
moo,1,36
kiss,1,37
hurt,1,38
bet,1,39
have,1,40
fall,1,41
count,1,42
color,1,43
close,1,44
bumble,1,45
bubble,1,46
boughted,1,47
boot,1,48
blanket,1,49
wipin,1,50
