converb,count,rank
do,50,1
have,41,2
want,38,3
get,34,4
go,31,5
put,28,6
read,27,7
sit,25,8
see,23,9
say,23,10
think,20,11
look,17,12
know,17,13
eat,17,14
make,16,15
take,14,16
remember,12,17
hold,12,18
spill,11,19
come,9,20
wipe,9,21
bite,8,22
hide,6,23
drink,6,24
buy,6,25
stand,5,26
understand,5,27
fix,5,28
hear,4,29
like,4,30
try,4,31
give,4,32
stay,4,33
move,4,34
count,4,35
set,4,36
rid,4,37
knock,4,38
color,4,39
scoot,4,40
write,4,41
need,3,42
pour,3,43
send,3,44
let,3,45
be,3,46
break,3,47
close,3,48
jump,2,49
pardon,2,50
bet,2,51
bicycle,2,52
blow,2,53
tickle,2,54
brush,2,55
sound,2,56
seed,2,57
dog,2,58
fall,2,59
pull,2,60
dance,2,61
mean,2,62
guess,2,63
open,2,64
hurt,2,65
moo,2,66
stack,1,67
stain,1,68
bumble,1,69
fly,1,70
bring,1,71
grab,1,72
paint,1,73
ask,1,74
button,1,75
use,1,76
wait,1,77
wash,1,78
watch,1,79
water,1,80
kiss,1,81
help,1,82
sock,1,83
pick,1,84
saw,1,85
feel,1,86
fell,1,87
excuse,1,88
drop,1,89
muffle,1,90
run,1,91
dirty,1,92
skunk,1,93
kick,1,94
find,1,95
clean,1,96
chew,1,97
shy,1,98
call,1,99
,1,100
