,converb,count,rank
0,do,50,1
1,have,41,2
3,get,34,3
4,go,31,4
5,put,28,5
6,read,27,6
7,sit,25,7
8,see,23,8
9,say,23,9
10,think,20,10
12,know,17,11
13,eat,17,12
14,make,16,13
15,take,14,14
17,hold,12,15
18,spill,11,16
19,come,9,17
21,bite,8,18
22,hide,6,19
23,drink,6,20
24,buy,6,21
25,stand,5,22
26,understand,5,23
28,hear,4,24
31,give,4,25
35,set,4,26
40,write,4,27
43,send,3,28
44,let,3,29
46,break,3,30
50,bet,2,31
52,blow,2,32
58,fall,2,33
61,mean,2,34
64,hurt,2,35
69,fly,1,36
70,bring,1,37
85,feel,1,38
90,run,1,39
94,find,1,40
