,Raw Probability p = Si/Sn,,,,,,,Yang's version y = C/x,,,,,Power Law y = C/x**alpha,,,,,Powerlaw Probability p(x) = x**(-k),,,,,Powerlaw Probability with min p(x) = x**(-k) (x>xmin),,,,,,
,Sn,Se,e,N,Tn,Tr,Tr<Tn,yangTn,yangTr,yangTr<Tn,yang_,yang_>e,alpha,beta,PowerLawTn,PowerLawTr,PowerLawTr<Tn,k1,k2,pxTn,pxTr,pxTr<pxTn,kmin1,min1,kmin2,min2,pxminTn,pxminTr,pxminTr<pxminTn
Adam,6747,4189,64,306,33.8,61.02,FALSE,53.46,53.83,FALSE,53,FALSE,1.52,1.57,12.78,50.41,FALSE,1.42,1.26,17.31,60.03,FALSE,1.62,3,1.68,13,15.68,55.56,FALSE
Eve,564,379,39,93,17.51,30.65,FALSE,20.52,27.11,FALSE,21,FALSE,1.19,1.42,13.16,24.17,FALSE,1.58,1.47,10.95,30.3,FALSE,1.58,1,1.47,1,10.95,30.3,FALSE
Sarah,1759,1151,53,189,25.65,47.42,FALSE,36.06,41.88,FALSE,36,FALSE,1.3,1.54,17.02,36.96,FALSE,1.55,1.36,14.44,46.85,FALSE,1.55,1,2.46,20,14.44,41.28,FALSE
Peter,7532,3997,67,424,43.82,64.8,FALSE,70.09,58.93,TRUE,70,TRUE,1.46,1.87,17.98,56.97,FALSE,1.47,1.31,19.53,66.01,FALSE,1.47,1,1.68,15,19.53,61.19,FALSE
Naomi,1240,744,42,128,19.63,36.38,FALSE,26.38,31.91,FALSE,26,FALSE,1.31,1.48,12.89,30.21,FALSE,1.51,1.37,12.42,36.12,FALSE,1.51,1,3.02,24,12.42,30.05,FALSE
Allison,612,364,39,88,18.24,30.41,FALSE,19.65,26.43,FALSE,20,FALSE,1.15,1.25,13.72,24.07,FALSE,1.51,1.44,10.71,29.37,FALSE,2.25,5,2.05,5,8.21,26.87,FALSE
April,128,87,23,50,14.64,19.65,FALSE,12.78,15.79,FALSE,13,FALSE,0.81,0.93,13.93,14.15,FALSE,1.76,1.59,8.5,18.49,FALSE,3.61,5,3.61,5,6,15.99,FALSE
Fraser,13924,9899,73,371,26.34,65.88,FALSE,62.71,61.98,TRUE,63,FALSE,1.67,2,8.94,62.2,FALSE,1.42,1.26,18.59,68.57,FALSE,1.92,26,1.59,14,12.29,63.92,FALSE
Adam's input,4670,3120,71,297,35.27,66.2,FALSE,52.16,58.01,FALSE,52,FALSE,1.45,1.52,15.12,54.88,FALSE,1.46,1.29,17.12,63.85,FALSE,1.46,1,1.78,9,17.12,60.2,FALSE
Eve's input,1618,1120,54,138,21.17,42.52,FALSE,28.01,38.17,FALSE,28,FALSE,1.36,1.51,12.25,33.75,FALSE,1.47,1.36,12.79,41.65,FALSE,1.47,1,2.02,14,12.79,37,FALSE
Sarah's input,3867,2655,72,293,33.37,65.27,FALSE,51.58,58.44,FALSE,52,FALSE,1.41,1.71,16.99,53.25,FALSE,1.51,1.33,17.03,64.19,FALSE,1.51,1,1.86,15,17.03,59.37,FALSE
Peter's input,15573,9463,81,633,47.19,81.62,FALSE,98.13,72.99,TRUE,98,TRUE,1.57,1.92,15.38,72.54,FALSE,1.48,1.25,22.6,81,FALSE,1.48,1,1.81,55,22.6,72.22,FALSE
Naomi's input,1463,978,57,174,27.12,48.73,FALSE,33.73,42.95,FALSE,34,FALSE,1.23,1.45,18.75,41.03,FALSE,1.53,1.38,13.99,47.3,FALSE,1.87,3,1.54,2,12.36,46.3,FALSE
Allison's input,1453,1000,46,140,21.32,39.24,FALSE,28.33,34.83,FALSE,28,FALSE,1.3,1.56,14.1,31.69,FALSE,1.49,1.36,12.86,39.09,FALSE,1.8,3,1.77,7,11.23,35.96,FALSE
April's input,658,474,40,100,19.09,33.81,FALSE,21.71,28.34,FALSE,22,FALSE,1.19,1.23,14.02,25.72,FALSE,1.55,1.39,11.27,31.74,FALSE,1.55,1,4.36,23,11.27,25.79,FALSE
Fraser's input,32359,23599,89,581,30.8,83.81,FALSE,91.28,78.4,TRUE,91,TRUE,1.8,2.16,7.14,81.18,FALSE,1.42,1.24,21.91,86.13,FALSE,1.89,45,1.59,29,13.86,79.5,FALSE
