converb,count,rank
read,45,1
have,37,2
go,36,3
sit,34,4
come,31,5
see,31,6
want,28,7
get,19,8
find,18,9
make,17,10
man,17,11
write,17,12
eat,11,13
wait,11,14
look,10,15
stick,10,16
do,9,17
fix,9,18
climb,9,19
drop,8,20
fall,7,21
turn,7,22
bring,6,23
show,6,24
change,6,25
run,6,26
put,5,27
happen,5,28
pardon,4,29
break,4,30
help,4,31
dance,3,32
swim,3,33
bang,3,34
move,3,35
pick,3,36
tippietoe,3,37
spill,3,38
jump,3,39
busy,3,40
cry,3,41
taste,3,42
pull,2,43
ready,2,44
take,2,45
spoon,2,46
stand,2,47
sell,2,48
hold,2,49
forget,2,50
throw,2,51
kick,2,52
ice,2,53
cool,2,54
crack,2,55
use,1,56
wipe,1,57
wear,1,58
watch,1,59
tear,1,60
stir,1,61
thank,1,62
sway,1,63
try,1,64
touch,1,65
tored,1,66
splash,1,67
,1,68
smell,1,69
let,1,70
bet,1,71
block,1,72
buy,1,73
dig,1,74
drink,1,75
fell,1,76
happ,1,77
hide,1,78
hurt,1,79
know,1,80
lick,1,81
skate,1,82
lie,1,83
arm,1,84
open,1,85
piece,1,86
play,1,87
saw,1,88
seed,1,89
shop,1,90
shut,1,91
sing,1,92
op,1,93
