converb,count,rank
go,146,1
have,134,2
do,92,3
want,91,4
put,83,5
get,71,6
read,63,7
sit,62,8
see,42,9
eat,36,10
like,35,11
bring,33,12
take,28,13
come,28,14
find,25,15
look,25,16
crack,25,17
write,22,18
play,21,19
say,20,20
drink,20,21
know,19,22
move,19,23
think,19,24
let,17,25
make,16,26
fix,14,27
give,14,28
turn,14,29
jump,12,30
climb,12,31
finish,11,32
drop,11,33
change,10,34
watch,10,35
belong,9,36
stand,9,37
spill,9,38
wipe,9,39
stay,8,40
hold,8,41
lay,8,42
touch,8,43
happen,8,44
throw,8,45
shut,8,46
help,7,47
swing,7,48
keep,6,49
hurt,6,50
wait,6,51
use,6,52
run,6,53
open,5,54
need,5,55
man,5,56
cook,5,57
stick,5,58
chew,5,59
time,5,60
sing,4,61
try,4,62
ready,4,63
wear,4,64
sleep,4,65
taste,4,66
leave,4,67
forget,4,68
cry,4,69
bang,4,70
call,4,71
hear,3,72
ask,3,73
busy,3,74
build,3,75
break,3,76
dance,3,77
pick,3,78
pardon,3,79
hide,3,80
empty,2,81
tear,2,82
tell,2,83
fell,2,84
talk,2,85
count,2,86
start,2,87
cub,2,88
suppose,2,89
tire,2,90
kill,2,91
bump,2,92
mean,2,93
wash,2,94
ice,2,95
bet,2,96
hit,2,97
stir,2,98
carry,1,99
bicycle,1,100
burn,1,101
wan,1,102
swim,1,103
block,1,104
swallow,1,105
understand,1,106
stop,1,107
back,1,108
worry,1,109
clean,1,110
sound,1,111
step,1,112
guess,1,113
answer,1,114
kick,1,115
lick,1,116
lie,1,117
juice,1,118
lose,1,119
hum,1,120
miss,1,121
hang,1,122
peel,1,123
pin,1,124
fold,1,125
cut,1,126
roll,1,127
fall,1,128
excuse,1,129
shop,1,130
show,1,131
dust,1,132
dress,1,133
draw,1,134
skate,1,135
decorate,1,136
learn,1,137
,1,138
