,converb,count,rank
0,read,45,1
1,have,37,2
2,go,36,3
3,sit,34,4
4,come,31,5
5,see,31,6
7,get,19,7
8,find,18,8
9,make,17,9
11,write,17,10
12,eat,11,11
15,stick,10,12
16,do,9,13
20,fall,7,14
22,bring,6,15
23,show,6,16
25,run,6,17
26,put,5,18
29,break,4,19
32,swim,3,20
37,spill,3,21
44,take,2,22
46,stand,2,23
47,sell,2,24
48,hold,2,25
49,forget,2,26
50,throw,2,27
57,wear,1,28
59,tear,1,29
69,let,1,30
70,bet,1,31
72,buy,1,32
73,dig,1,33
74,drink,1,34
77,hide,1,35
78,hurt,1,36
79,know,1,37
90,shut,1,38
91,sing,1,39
