,converb,count,rank
0,go,146,1
1,have,134,2
2,do,92,3
4,put,83,4
5,get,71,5
6,read,63,6
7,sit,62,7
8,see,42,8
9,eat,36,9
11,bring,33,10
12,take,28,11
13,come,28,12
14,find,25,13
17,write,22,14
19,say,20,15
20,drink,20,16
21,know,19,17
23,think,19,18
24,let,17,19
25,make,16,20
27,give,14,21
36,stand,9,22
37,spill,9,23
40,hold,8,24
41,lay,8,25
44,throw,8,26
45,shut,8,27
47,swing,7,28
48,keep,6,29
49,hurt,6,30
52,run,6,31
57,stick,5,32
60,sing,4,33
63,wear,4,34
64,sleep,4,35
66,leave,4,36
67,forget,4,37
71,hear,3,38
74,build,3,39
75,break,3,40
79,hide,3,41
81,tear,2,42
82,tell,2,43
92,mean,2,44
95,bet,2,45
96,hit,2,46
100,burn,1,47
102,swim,1,48
105,understand,1,49
118,lose,1,50
125,cut,1,51
127,fall,1,52
130,show,1,53
133,draw,1,54
