converb,count,rank
go,50,53
come,28,101
look,26,25
get,24,100
do,24,51
see,22,2
have,18,209
know,15,5
put,9,52
say,6,73
think,6,14
hold,5,17
play,5,106
baby,5,18
take,5,129
sit,4,104
hide,4,77
hurt,4,104
sort,3,27
tell,3,105
lie,3,24
want,3,28
make,3,122
find,3,85
fall,3,264
help,3,244
cry,3,26
rain,2,41
like,2,35
live,2,38
splash,2,39
lose,2,120
try,2,142
sleep,2,36
build,2,44
thank,2,43
cross,2,37
start,1,82
stay,1,84
tidy,1,81
stroke,1,55
turn,1,70
blow,1,67
watch,1,69
wear,1,64
drive,1,78
laugh,1,52
eat,1,56
paddle,1,59
let,1,61
hear,1,75
love,1,80
bite,1,51
matter,1,76
need,1,54
pick,1,86
shut,1,74
happen,1,72
pretend,1,68
fold,1,85
read,1,49
remember,1,60
leave,1,65
wonder,1,47
