converb,count,rank
go,126,13
get,30,67
come,27,130
do,24,57
know,21,6
want,17,8
see,16,9
cut,13,96
have,13,35
ooh,12,11
look,10,99
make,9,97
find,7,199
break,6,159
say,6,95
sing,5,16
hide,5,74
put,4,108
dance,4,23
rid,4,22
eat,3,104
throw,3,101
open,3,27
read,3,117
boat,3,32
try,3,31
shut,3,30
lay,2,48
love,2,127
roll,2,115
aah,2,33
run,2,158
rain,2,42
ride,2,46
,2,43
help,2,44
happen,2,49
race,2,40
splash,2,41
swim,2,34
sit,1,65
stick,1,71
sticker,1,77
take,1,79
thank,1,90
tidy,1,92
touch,1,99
wear,1,98
sleep,1,60
lift,1,51
press,1,75
give,1,97
bear,1,101
bite,1,52
bless,1,56
buy,1,55
call,1,89
carry,1,94
climb,1,87
cry,1,100
fall,1,78
finish,1,93
gonna,1,69
play,1,91
grey,1,61
grow,1,59
hear,1,68
hold,1,70
hurt,1,83
leave,1,50
lie,1,85
like,1,74
miss,1,73
need,1,72
wonder,1,53
