,verb,count
0,go,286
1,do,208
2,come,161
3,get,116
4,see,82
5,have,79
6,know,58
7,think,57
9,look,40
10,make,39
13,hide,33
16,say,28
17,hear,23
18,find,18
21,sleep,14
23,sit,12
27,eat,10
28,be,10
29,give,10
32,take,9
35,saw,8
36,sing,8
38,break,7
48,stand,6
50,tell,6
52,fall,6
53,swim,6
55,build,5
56,drink,5
58,wear,5
62,blow,4
65,run,4
71,stick,4
79,mean,3
83,spin,3
86,feel,3
87,leave,3
88,fly,3
89,lay,3
91,draw,3
94,lie,2
95,forget,2
98,sink,2
104,swing,2
105,dig,2
106,throw,2
108,bring,2
109,grow,2
120,learn,1
136,wake,1
138,buy,1
139,burn,1
146,begin,1
161,send,1
166,keep,1
171,feed,1
177,hang,1
