converb,count,rank
go,4921,1
do,3326,2
get,2151,3
come,1783,4
have,1568,5
see,1073,6
know,1061,7
look,805,8
want,804,9
think,801,10
say,735,11
put,692,12
make,477,13
gonna,373,14
find,356,15
play,348,16
hide,334,17
read,300,18
hurt,263,19
take,261,20
sit,257,21
eat,253,22
sleep,192,23
ooh,186,24
hear,183,25
fall,183,26
tell,181,27
call,175,28
give,165,29
like,162,30
thank,160,31
tire,156,32
break,148,33
matter,146,34
touch,133,35
happen,132,36
tidy,130,37
cry,129,38
stick,128,39
watch,126,40
stay,120,41
try,109,42
finish,108,43
let,108,44
need,102,45
help,101,46
throw,98,47
sing,93,48
talk,93,49
stand,91,50
be,90,51
dress,84,52
turn,82,53
rain,80,54
wear,79,55
leave,78,56
run,78,57
count,74,58
climb,73,59
aah,73,60
pull,72,61
lose,69,62
open,69,63
shop,66,64
shut,66,65
buy,66,66
love,65,67
wash,65,68
lie,64,69
change,62,70
stop,60,71
draw,60,72
saw,60,73
move,59,74
fix,59,75
start,58,76
bang,57,77
scar,57,78
hold,56,79
cut,56,80
miss,55,81
jump,54,82
build,51,83
listen,51,84
excuse,50,85
work,49,86
feel,49,87
mind,48,88
remember,48,89
show,47,90
reach,46,91
paint,46,92
dance,45,93
drink,44,94
sort,42,95
swim,42,96
pick,42,97
bless,41,98
keep,41,99
carry,41,100
lay,40,101
fly,38,102
mean,38,103
blow,36,104
grow,35,105
laugh,35,106
drive,34,107
walk,34,108
number,33,109
clean,33,110
brush,32,111
fit,32,112
begin,31,113
drop,31,114
cook,31,115
kick,31,116
roll,30,117
rub,29,118
fell,29,119
bring,29,120
rid,29,121
answer,27,122
live,27,123
wait,26,124
follow,26,125
ask,26,126
bet,25,127
tickle,25,128
hang,24,129
wake,23,130
sound,23,131
wonder,22,132
catch,22,133
forget,22,134
push,22,135
share,21,136
dirty,21,137
water,20,138
sell,20,139
splash,19,140
wipe,19,141
stroke,17,142
color,17,143
bounce,17,144
kiss,17,145
pant,16,146
shout,16,147
iron,16,148
spin,14,149
baby,14,150
win,13,151
use,13,152
close,13,153
march,12,154
stamp,12,155
excite,12,156
bear,12,157
smack,11,158
hope,11,159
marry,11,160
swing,11,161
worry,11,162
smile,11,163
dry,11,164
wave,10,165
snooze,10,166
race,10,167
ready,10,168
bite,10,169
chase,10,170
cuddle,10,171
crash,10,172
smell,10,173
suppose,10,174
bump,9,175
hit,9,176
pass,9,177
stickers,9,178
knock,9,179
cool,9,180
roar,9,181
land,9,182
mix,9,183
mess,9,184
disappear,9,185
warm,9,186
measure,9,187
whisper,9,188
match,9,189
write,9,190
squeeze,9,191
lean,8,192
pardon,8,193
learn,8,194
hurry,8,195
sneeze,8,196
feed,8,197
save,8,198
amaze,8,199
float,8,200
press,7,201
spill,7,202
time,7,203
slide,7,204
scurry,7,205
post,7,206
cheep,7,207
cover,7,208
sticker,7,209
pop,7,210
crawl,6,211
shake,6,212
lift,6,213
believe,6,214
pretend,6,215
meet,6,216
stretch,6,217
squash,6,218
guess,6,219
cough,6,220
choose,6,221
copy,6,222
babble,6,223
imagine,5,224
poo_pooed,5,225
surprise,5,226
snatch,5,227
still,5,228
sew,5,229
scratch,5,230
paddle,5,231
scare,5,232
clap,5,233
undress,5,234
piece,5,235
