,converb,count,rank
0,go,3199,1
1,get,979,2
2,do,887,3
3,come,721,4
4,know,550,5
6,see,442,6
8,make,335,7
9,hide,272,8
11,have,210,9
12,say,196,10
13,find,177,11
14,read,144,12
15,fall,143,13
16,put,143,14
17,hurt,141,15
19,eat,128,16
20,break,126,17
21,sleep,116,18
30,stick,60,19
31,sit,56,20
32,throw,54,21
35,take,50,22
36,think,49,23
39,cut,48,24
42,lay,44,25
44,run,41,26
47,hear,40,27
49,lose,40,28
60,sing,32,29
61,draw,32,30
62,shut,31,31
67,give,30,32
68,catch,29,33
70,leave,27,34
73,drink,26,35
74,build,25,36
76,hold,24,37
79,fly,22,38
81,let,21,39
87,swim,20,40
91,stand,17,41
93,tell,16,42
94,buy,16,43
99,feel,15,44
104,wake,14,45
110,drive,11,46
114,bite,11,47
130,forget,9,48
137,wear,8,49
143,swing,7,50
152,bring,6,51
153,sell,6,52
160,spill,6,53
168,grow,5,54
173,ride,4,55
177,blow,4,56
189,write,3,57
193,ring,3,58
202,keep,3,59
205,sink,3,60
210,hit,3,61
216,show,2,62
219,win,2,63
237,mean,2,64
240,choose,2,65
242,fight,2,66
252,feed,2,67
255,freeze,2,68
263,dig,1,69
288,bend,1,70
294,burn,1,71
310,send,1,72
338,set,1,73
