,converb,count,rank
0,go,4921,1
1,do,3326,2
2,get,2151,3
3,come,1783,4
4,have,1568,5
5,see,1073,6
6,know,1061,7
9,think,801,8
10,say,735,9
11,put,692,10
12,make,477,11
14,find,356,12
16,hide,334,13
17,read,300,14
18,hurt,263,15
19,take,261,16
20,sit,257,17
21,eat,253,18
22,sleep,192,19
24,hear,183,20
25,fall,183,21
26,tell,181,22
28,give,165,23
32,break,148,24
38,stick,128,25
43,let,108,26
46,throw,98,27
47,sing,93,28
49,stand,91,29
54,wear,79,30
55,leave,78,31
56,run,78,32
61,lose,69,33
64,shut,66,34
65,buy,66,35
71,draw,60,36
78,hold,56,37
79,cut,56,38
82,build,51,39
86,feel,49,40
89,show,47,41
93,drink,44,42
95,swim,42,43
98,keep,41,44
100,lay,40,45
101,fly,38,46
102,mean,38,47
103,blow,36,48
104,grow,35,49
106,drive,34,50
112,begin,31,51
119,bring,29,52
126,bet,25,53
129,wake,23,54
132,catch,22,55
133,forget,22,56
138,sell,20,57
150,win,13,58
160,swing,11,59
168,bite,10,60
175,hit,9,61
189,write,9,62
191,lean,8,63
196,feed,8,64
201,spill,7,65
211,shake,6,66
215,meet,6,67
220,choose,6,68
240,ring,4,69
250,dig,4,70
252,send,4,71
267,spend,3,72
276,pay,3,73
287,freeze,3,74
301,set,3,75
304,burn,3,76
305,fight,3,77
329,sink,2,78
335,speak,2,79
341,ride,2,80
354,teach,2,81
356,understand,2,82
357,stink,2,83
366,bend,2,84
405,sweep,1,85
412,steal,1,86
417,spread,1,87
428,sting,1,88
457,dream,1,89
