converb,count,rank
get,129,1
want,120,2
go,118,3
look,52,4
eat,42,5
fall,41,6
take,39,7
sleep,37,8
read,32,9
like,30,10
come,30,11
break,28,12
see,27,13
sit,26,14
throw,24,15
do,24,16
fix,22,17
find,21,18
need,18,19
wan,15,20
push,14,21
leave,12,22
sing,12,23
hurt,11,24
jump,11,25
cry,11,26
feel,10,27
put,9,28
run,9,29
tire,8,30
lie,8,31
rain,8,32
bark,8,33
watch,7,34
open,7,35
climb,7,36
wake,6,37
bring,6,38
hold,6,39
lock,6,40
walk,6,41
make,6,42
close,5,43
kick,5,44
move,5,45
try,5,46
finish,5,47
draw,5,48
slide,4,49
lay,4,50
have,4,51
zipper,4,52
flop,4,53
change,4,54
dog,4,55
fell,4,56
drop,4,57
wash,4,58
enjoy,3,59
soak,3,60
turn,3,61
pick,3,62
boot,3,63
say,3,64
shop,3,65
stick,3,66
mouth,2,67
play,2,68
blanket,2,69
work,2,70
sled,2,71
zip,2,72
shred,2,73
op,2,74
clean,2,75
fly,2,76
ice,2,77
awake,2,78
hand,2,79
hide,2,80
hit,2,81
stand,2,82
feed,2,83
smile,2,84
drink,2,85
tear,2,86
cup,2,87
spoon,1,88
swing,1,89
test,1,90
wind,1,91
slam,1,92
talk,1,93
toy,1,94
sweep,1,95
think,1,96
attach,1,97
rest,1,98
color,1,99
b,1,100
bakin,1,101
bang,1,102
barkin,1,103
begin,1,104
bite,1,105
blow,1,106
boogie,1,107
bounce,1,108
brown,1,109
brush,1,110
carry,1,111
catalogue,1,112
comfort,1,113
peel,1,114
cryin,1,115
dance,1,116
diapers,1,117
dress,1,118
eatin,1,119
flower,1,120
goin,1,121
hug,1,122
kissem,1,123
listen,1,124
moo,1,125
pant,1,126
peek,1,127
kiss,1,128
