converb,count,rank
do,105,1
go,96,2
say,77,3
get,77,4
want,75,5
put,68,6
have,63,7
eat,48,8
see,47,9
look,42,10
take,42,11
like,29,12
come,29,13
make,27,14
sit,24,15
think,22,16
know,21,17
give,20,18
break,18,19
tell,13,20
lie,13,21
throw,13,22
let,12,23
tire,12,24
call,12,25
cry,11,26
fall,11,27
show,11,28
sleep,11,29
find,11,30
draw,10,31
fell,10,32
feel,9,33
clean,9,34
jump,8,35
try,7,36
smile,7,37
hurt,7,38
brush,7,39
stay,7,40
play,7,41
remember,6,42
flop,6,43
read,6,44
finish,6,45
rest,6,46
pick,6,47
fee,6,48
dance,6,49
wash,6,50
wear,5,51
run,5,52
hold,5,53
leave,5,54
watch,5,55
tear,5,56
surprise,5,57
chew,4,58
work,4,59
mean,4,60
open,4,61
pull,4,62
stick,4,63
pant,4,64
sing,4,65
smell,4,66
turn,4,67
drop,4,68
fix,4,69
touch,4,70
use,4,71
wait,3,72
slide,3,73
balance,3,74
feed,3,75
point,3,76
bang,3,77
attach,3,78
drink,3,79
listen,3,80
toast,3,81
stand,3,82
comb,3,83
sled,3,84
push,3,85
kick,3,86
bring,3,87
cloud,3,88
help,3,89
blow,3,90
hide,3,91
carry,3,92
understand,3,93
ride,2,94
rock,2,95
pop,2,96
shred,2,97
star,2,98
spill,2,99
write,2,100
picture,2,101
hit,2,102
baby,2,103
build,2,104
wake,2,105
close,2,106
cover,2,107
dress,2,108
drip,2,109
tie,2,110
dry,2,111
happen,2,112
need,2,113
keep,2,114
kiss,2,115
move,2,116
swim,1,117
warm,1,118
wan,1,119
soap,1,120
walk,1,121
sweep,1,122
spit,1,123
squeak,1,124
talk,1,125
train,1,126
tower,1,127
stop,1,128
spin,1,129
tinkle,1,130
sock,1,131
ask,1,132
size,1,133
catalogue,1,134
enjoy,1,135
diaper,1,136
decide,1,137
cut,1,138
count,1,139
comfort,1,140
clock,1,141
climb,1,142
c,1,143
shop,1,144
buy,1,145
boot,1,146
boat,1,147
blanket,1,148
believe,1,149
beep,1,150
beef,1,151
bark,1,152
fasten,1,153
figure,1,154
flower,1,155
fly,1,156
saw,1,157
rid,1,158
ready,1,159
rain,1,160
pretend,1,161
pour,1,162
plug,1,163
plan,1,164
peel,1,165
miss,1,166
man,1,167
learn,1,168
lay,1,169
last,1,170
hear,1,171
hang,1,172
hand,1,173
lose,1,174
