,converb,count,rank
0,get,129,1
2,go,118,2
4,eat,42,3
5,fall,41,4
6,take,39,5
7,sleep,37,6
8,read,32,7
10,come,30,8
11,break,28,9
12,see,27,10
13,sit,26,11
14,throw,24,12
15,do,24,13
17,find,21,14
21,leave,12,15
22,sing,12,16
23,hurt,11,17
26,feel,10,18
27,put,9,19
28,run,9,20
36,wake,6,21
37,bring,6,22
38,hold,6,23
41,make,6,24
47,draw,5,25
49,lay,4,26
50,have,4,27
63,say,3,28
65,stick,3,29
75,fly,2,30
79,hide,2,31
80,hit,2,32
81,stand,2,33
82,feed,2,34
84,drink,2,35
85,tear,2,36
88,swing,1,37
94,sweep,1,38
95,think,1,39
103,begin,1,40
104,bite,1,41
105,blow,1,42
