,converb,count,rank
0,do,105,1
1,go,96,2
2,say,77,3
3,get,77,4
5,put,68,5
6,have,63,6
7,eat,48,7
8,see,47,8
10,take,42,9
12,come,29,10
13,make,27,11
14,sit,24,12
15,think,22,13
16,know,21,14
17,give,20,15
18,break,18,16
19,tell,13,17
21,throw,13,18
22,let,12,19
26,fall,11,20
27,show,11,21
28,sleep,11,22
29,find,11,23
30,draw,10,24
32,feel,9,25
37,hurt,7,26
43,read,6,27
50,wear,5,28
51,run,5,29
52,hold,5,30
53,leave,5,31
55,tear,5,32
59,mean,4,33
62,stick,4,34
64,sing,4,35
74,feed,3,36
78,drink,3,37
81,stand,3,38
86,bring,3,39
89,blow,3,40
90,hide,3,41
92,understand,3,42
93,ride,2,43
98,spill,2,44
99,write,2,45
101,hit,2,46
103,build,2,47
104,wake,2,48
113,keep,2,49
116,swim,1,50
121,sweep,1,51
137,cut,1,52
144,buy,1,53
155,fly,1,54
168,lay,1,55
170,hear,1,56
173,lose,1,57
