converb,count,rank
go,728,1
put,450,2
get,407,3
see,277,4
write,256,5
take,229,6
want,228,7
do,210,8
fix,185,9
look,153,10
come,152,11
sit,140,12
there,133,13
finish,127,14
have,125,15
break,118,16
find,98,17
make,92,18
turn,91,19
play,83,20
wan,83,21
wheel,83,22
mommy,69,23
open,62,24
recorder,58,25
daddy,58,26
need,55,27
fall,55,28
ride,54,29
try,50,30
eat,50,31
close,44,32
show,42,33
tape,42,34
train,41,35
lock,40,36
cry,38,37
give,38,38
truck,37,39
bring,37,40
hold,37,41
seesaw,36,42
goin,36,43
say,35,44
work,35,45
screw,34,46
zoom,34,47
move,29,48
rain,28,49
stop,27,50
stay,26,51
know,26,52
here,26,53
mama,25,54
push,25,55
help,25,56
gi,25,57
use,24,58
draw,23,59
think,23,60
let,23,61
hurt,22,62
coffee,22,63
throw,22,64
happen,21,65
engine,21,66
juice,20,67
screwdriver,20,68
like,20,69
back,19,70
shop,19,71
touch,19,72
read,19,73
leave,18,74
car,18,75
block,17,76
drive,17,77
sleep,17,78
mine,17,79
piece,17,80
fell,17,81
rid,16,82
pull,16,83
wait,15,84
watch,15,85
toy,15,86
stand,15,87
dog,13,88
wrench,13,89
room,13,90
gum,13,91
guess,13,92
knock,13,93
pick,12,94
slide,12,95
thing,12,96
stick,11,97
paper,11,98
please,11,99
pop,11,100
tire,11,101
box,11,102
milk,10,103
glue,10,104
kick,10,105
live,10,106
hit,10,107
doin,10,108
workin,10,109
cookie,9,110
cut,9,111
pretzel,9,112
bite,8,113
walk,8,114
sleepin,8,115
wash,8,116
set,8,117
saw,8,118
le,8,119
run,8,120
dirty,8,121
top,8,122
jump,8,123
carry,8,124
comin,7,125
baby,7,126
time,7,127
cookies,7,128
circle,7,129
cup,7,130
belong,7,131
call,7,132
man,7,133
hear,7,134
candy,7,135
bag,7,136
talk,7,137
miss,7,138
book,6,139
round,6,140
bolt,6,141
horsie,6,142
wipe,6,143
woof,6,144
bang,6,145
keep,6,146
catch,6,147
tear,6,148
g,6,149
lose,6,150
cars,6,151
hand,6,152
start,6,153
flower,6,154
sing,6,155
moo,6,156
pen,6,157
doggie,6,158
record,6,159
dump,6,160
apple,6,161
hang,6,162
pretzels,5,163
house,5,164
wind,5,165
tv,5,166
lunch,5,167
roll,5,168
right,5,169
ready,5,170
takin,5,171
,5,172
elevator,5,173
drop,5,174
change,5,175
fire,5,176
bless,5,177
bus,5,178
clean,5,179
bike,5,180
down,5,181
light,4,182
fold,4,183
coat,4,184
fly,4,185
way,4,186
mirror,4,187
store,4,188
telephone,4,189
battery,4,190
food,4,191
fit,4,192
swim,4,193
bracelet,4,194
ring,4,195
kit,4,196
helpin,4,197
name,4,198
fight,4,199
hello,4,200
pocketbook,4,201
pant,4,202
girl,4,203
pour,4,204
peanut,4,205
matter,3,206
makin,3,207
tie,3,208
buy,3,209
mess,3,210
orange,3,211
reach,3,212
wake,3,213
puzzle,3,214
drink,3,215
lookin,3,216
key,3,217
string,3,218
smoke,3,219
zoo,3,220
wrong,3,221
spray,3,222
squeeze,3,223
balloon,3,224
climb,3,225
barrel,3,226
stir,3,227
chair,3,228
love,3,229
whoop,3,230
scream,3,231
lick,3,232
forget,3,233
sugar,2,234
stamp,2,235
player,2,236
buggy,2,237
build,2,238
pocket,2,239
tangle,2,240
chip,2,241
car_car,2,242
hide,2,243
ruin,2,244
swing,2,245
cycle,2,246
re,2,247
things,2,248
driver,2,249
drinkin,2,250
clip,2,251
puttin,2,252
steer,2,253
remember,2,254
button,2,255
step,2,256
rinse,2,257
people,2,258
soap,2,259
guitar,2,260
microphone,2,261
kaka,2,262
mean,2,263
gon,2,264
beep,2,265
kiss,2,266
gettin,2,267
magazine,2,268
bear,2,269
lady,2,270
windshield,2,271
wear,2,272
basket,2,273
line,2,274
welcome,2,275
gas,2,276
garble,2,277
bend,2,278
bet,2,279
peekaboo,2,280
blow,2,281
pill,2,282
hole,2,283
picture,2,284
trip,2,285
ice,2,286
boat,2,287
pencil,2,288
finger,2,289
eye,2,290
chimney,1,291
spoil,1,292
zip,1,293
answer,1,294
stickers,1,295
barrette,1,296
st,1,297
band,1,298
stack,1,299
wrinkle,1,300
chew,1,301
b,1,302
chimneys,1,303
wet,1,304
batteries,1,305
track,1,306
t,1,307
ta,1,308
towel,1,309
briefcase,1,310
trade,1,311
tinkle,1,312
spill,1,313
bunny,1,314
bo,1,315
trunk,1,316
blue,1,317
tryin,1,318
unlock,1,319
unscrew,1,320
thank,1,321
tell,1,322
begin,1,323
ca,1,324
tea,1,325
tat,1,326
can,1,327
tap,1,328
bologna,1,329
water,1,330
care,1,331
case,1,332
table,1,333
wastebasket,1,334
hiccup,1,335
snow,1,336
plant,1,337
foot,1,338
follow,1,339
mind,1,340
fixin,1,341
mom,1,342
monkey,1,343
monster,1,344
mouse,1,345
mouth,1,346
mumble,1,347
fill,1,348
number,1,349
ones,1,350
op,1,351
feel,1,352
park,1,353
empty,1,354
pinch,1,355
pl,1,356
football,1,357
airmail,1,358
frisbee,1,359
knockin,1,360
hood,1,361
hat,1,362
hammer,1,363
hair,1,364
imitate,1,365
itch,1,366
ha,1,367
glass,1,368
ladder,1,369
froggie,1,370
lap,1,371
laugh,1,372
lea,1,373
game,1,374
lie,1,375
fuel,1,376
fry,1,377
loan,1,378
plane,1,379
egg,1,380
chocolate,1,381
dumpin,1,382
cream,1,383
crack,1,384
scarf,1,385
cow,1,386
condition,1,387
scrub,1,388
comb,1,389
color,1,390
self,1,391
sh,1,392
sheep,1,393
shine,1,394
shoe,1,395
shut,1,396
side,1,397
siren,1,398
cigarettes,1,399
skate,1,400
christmas,1,401
save,1,402
sandbox,1,403
s,1,404
drawin,1,405
plop,1,406
plug,1,407
poke,1,408
drum,1,409
drivin,1,410
drivers,1,411
quiet,1,412
dribble,1,413
recite,1,414
d,1,415
doll,1,416
rest,1,417
ding,1,418
din,1,419
ridin,1,420
decorate,1,421
daw,1,422
darn,1,423
rope,1,424
