,converb,count,rank
0,go,728,1
1,put,450,2
2,get,407,3
3,see,277,4
4,write,256,5
5,take,229,6
7,do,210,7
10,come,152,8
11,sit,140,9
14,have,125,10
15,break,118,11
16,find,98,12
17,make,92,13
27,fall,55,14
28,ride,54,15
30,eat,50,16
32,show,42,17
37,give,38,18
39,bring,37,19
40,hold,37,20
43,say,35,21
51,know,26,22
58,draw,23,23
59,think,23,24
60,let,23,25
61,hurt,22,26
63,throw,22,27
72,read,19,28
73,leave,18,29
76,drive,17,30
77,sleep,17,31
86,stand,15,32
96,stick,11,33
106,hit,10,34
110,cut,9,35
112,bite,8,36
116,set,8,37
119,run,8,38
133,hear,7,39
145,keep,6,40
146,catch,6,41
147,tear,6,42
149,lose,6,43
154,sing,6,44
184,fly,4,45
192,swim,4,46
194,ring,4,47
198,fight,4,48
208,buy,3,49
212,wake,3,50
214,drink,3,51
232,forget,3,52
237,build,2,53
242,hide,2,54
244,swing,2,55
262,mean,2,56
271,wear,2,57
277,bend,2,58
278,bet,2,59
280,blow,2,60
312,spill,1,61
321,tell,1,62
322,begin,1,63
351,feel,1,64
393,shine,1,65
394,shoe,1,66
395,shut,1,67
