,converb,count,rank
0,go,1050,1
1,put,1036,2
2,do,757,3
3,see,721,4
4,think,681,5
5,have,570,6
6,get,529,7
9,take,354,8
11,come,290,9
12,know,283,10
13,write,276,11
15,say,235,12
17,make,207,13
18,let,178,14
21,sit,163,15
24,give,140,16
25,bring,130,17
29,find,115,18
30,leave,110,19
31,eat,106,20
32,throw,102,21
35,break,91,22
36,show,90,23
37,ride,84,24
39,hurt,71,25
40,hear,67,26
42,tell,63,27
44,hold,61,28
45,draw,60,29
50,stick,55,30
54,read,50,31
60,drive,42,32
62,hit,41,33
63,fall,41,34
65,catch,38,35
66,stand,38,36
70,run,33,37
71,sing,31,38
73,mean,30,39
75,keep,30,40
76,build,28,41
77,sleep,28,42
80,tear,27,43
81,understand,26,44
84,cut,25,45
92,forget,22,46
94,blow,22,47
108,lose,19,48
113,wear,18,49
114,bet,18,50
115,drink,17,51
116,buy,17,52
124,swim,15,53
127,feel,15,54
128,set,14,55
130,ring,14,56
135,bite,12,57
136,lean,12,58
152,wake,10,59
189,hide,7,60
202,speak,6,61
221,spill,5,62
222,fly,5,63
229,bend,5,64
270,meet,3,65
291,shut,3,66
292,shoe,3,67
322,teach,3,68
361,grow,2,69
389,burn,2,70
405,shake,1,71
418,shine,1,72
423,spread,1,73
424,spend,1,74
429,win,1,75
461,send,1,76
492,freeze,1,77
496,fight,1,78
507,begin,1,79
557,pay,1,80
585,quit,1,81
