converb,count,rank
go,168,1
see,166,2
want,125,3
get,122,4
make,61,5
put,52,6
break,52,7
do,48,8
ride,46,9
know,40,10
wan,31,11
fix,29,12
write,28,13
bite,28,14
love,27,15
take,25,16
read,24,17
eat,24,18
fall,23,19
come,23,20
have,23,21
talk,21,22
say,21,23
sit,20,24
hit,20,25
like,18,26
pull,17,27
cry,17,28
hurt,14,29
dance,14,30
wash,11,31
sing,10,32
happen,10,33
play,10,34
dog,9,35
tire,9,36
throw,9,37
fit,9,38
milk,8,39
hold,8,40
lose,8,41
show,7,42
wri,7,43
give,7,44
gi,7,45
stand,7,46
swim,7,47
rock,6,48
hide,6,49
stop,6,50
hear,5,51
bag,5,52
dress,5,53
catch,5,54
count,5,55
tie,5,56
pinch,4,57
knock,4,58
laugh,4,59
jingle,4,60
c,4,61
stay,4,62
spank,4,63
help,4,64
meow,4,65
cut,4,66
drink,4,67
bless,4,68
eye,4,69
run,3,70
pin,3,71
neck,3,72
rip,3,73
use,3,74
rain,3,75
work,3,76
need,3,77
swing,3,78
pant,3,79
let,3,80
pour,3,81
zipper,3,82
buy,3,83
find,3,84
freeze,3,85
dye,3,86
blow,3,87
color,3,88
bump,3,89
busy,3,90
spill,2,91
fill,2,92
rub,2,93
shop,2,94
cover,2,95
sleep,2,96
smoke,2,97
key,2,98
call,2,99
pat,2,100
bring,2,101
train,2,102
turn,2,103
wa,2,104
wai,2,105
walk,2,106
wee_weed,2,107
yawn,2,108
finger,2,109
,2,110
iron,2,111
baby,2,112
op,2,113
hand,2,114
jumpin,2,115
mine,2,116
name,2,117
bounce,1,118
juice,1,119
lift,1,120
toy,1,121
touch,1,122
toe,1,123
p,1,124
tip,1,125
tick,1,126
house,1,127
teach,1,128
burn,1,129
ma,1,130
cake,1,131
untie,1,132
w,1,133
leave,1,134
hol,1,135
kn,1,136
bake,1,137
beach,1,138
workin,1,139
beat,1,140
whoop,1,141
keep,1,142
watch,1,143
bicycle,1,144
bike,1,145
bleed,1,146
walkin,1,147
wait,1,148
jump,1,149
lay,1,150
sun,1,151
chew,1,152
stick,1,153
drop,1,154
drum,1,155
dump,1,156
e,1,157
push,1,158
fee,1,159
pray,1,160
number,1,161
poke,1,162
playin,1,163
fin,1,164
open,1,165
piece,1,166
pee,1,167
or,1,168
fittin,1,169
ring,1,170
dirty,1,171
step,1,172
dan,1,173
paint,1,174
choke,1,175
man,1,176
clean,1,177
heel,1,178
hang,1,179
close,1,180
moo,1,181
move,1,182
shoo,1,183
sh,1,184
crash,1,185
cross,1,186
kick,1,187
s,1,188
saw,1,189
