,converb,count,rank
0,go,168,1
1,see,166,2
3,get,122,3
4,make,61,4
5,put,52,5
6,break,52,6
7,do,48,7
8,ride,46,8
9,know,40,9
12,write,28,10
13,bite,28,11
15,take,25,12
16,read,24,13
17,eat,24,14
18,fall,23,15
19,come,23,16
20,have,23,17
22,say,21,18
23,sit,20,19
24,hit,20,20
28,hurt,14,21
31,sing,10,22
36,throw,9,23
39,hold,8,24
40,lose,8,25
41,show,7,26
43,give,7,27
45,stand,7,28
46,swim,7,29
48,hide,6,30
50,hear,5,31
53,catch,5,32
65,cut,4,33
66,drink,4,34
69,run,3,35
77,swing,3,36
79,let,3,37
82,buy,3,38
83,find,3,39
84,freeze,3,40
86,blow,3,41
90,spill,2,42
95,sleep,2,43
100,bring,2,44
127,teach,1,45
128,burn,1,46
133,leave,1,47
139,beat,1,48
141,keep,1,49
145,bleed,1,50
149,lay,1,51
152,stick,1,52
169,ring,1,53
