,converb,count,rank
0,go,356,1
1,get,309,2
2,do,244,3
3,have,149,4
4,know,136,5
5,see,134,6
7,say,117,7
8,put,106,8
9,come,88,9
10,tell,80,10
11,think,74,11
13,take,63,12
14,make,59,13
16,give,54,14
18,sing,48,15
19,eat,46,16
20,sit,46,17
23,buy,37,18
24,read,36,19
26,break,34,20
28,bite,31,21
30,leave,28,22
32,bring,23,23
35,ride,20,24
37,write,19,25
38,let,19,26
39,fall,19,27
40,drink,18,28
41,hear,18,29
42,hurt,18,30
43,show,17,31
44,hit,17,32
45,throw,17,33
50,lose,15,34
54,hold,12,35
59,find,10,36
62,grow,10,37
63,sleep,10,38
67,forget,9,39
69,stick,8,40
77,cut,8,41
80,keep,7,42
81,run,7,43
86,spill,7,44
88,wear,7,45
91,hide,6,46
92,blow,6,47
94,stand,6,48
96,swim,6,49
101,mean,5,50
108,understand,4,51
109,catch,4,52
111,feel,4,53
138,draw,3,54
139,sweep,3,55
167,burn,2,56
197,dream,1,57
198,swing,1,58
200,drive,1,59
207,cost,1,60
214,beat,1,61
218,bet,1,62
225,build,1,63
227,wake,1,64
229,steal,1,65
248,lay,1,66
260,pay,1,67
272,speak,1,68
283,freeze,1,69
285,shut,1,70
288,shake,1,71
289,set,1,72
