,verb,count
0,go,345
1,get,161
2,know,140
3,do,114
5,see,80
7,have,65
8,look,64
9,say,58
13,make,31
14,fall,26
15,come,25
19,eat,21
20,draw,18
22,break,18
25,sleep,14
26,throw,13
27,sing,13
28,sit,12
29,hear,11
32,feel,10
36,stick,9
37,find,9
38,build,8
40,give,8
43,hide,8
45,run,8
46,think,8
47,saw,8
50,take,7
51,leave,7
60,lay,5
61,forget,5
64,spill,4
71,drink,4
78,tell,3
82,wake,3
85,sew,3
98,freeze,2
100,buy,2
101,catch,2
105,drive,2
108,fly,2
115,lie,2
116,lose,2
120,win,1
121,wear,1
126,stand,1
142,burn,1
144,bring,1
145,bite,1
146,be,1
165,kneel,1
166,hold,1
167,write,1
