,verb,count
0,go,755
1,do,507
2,get,335
3,have,253
4,see,237
5,know,212
6,come,197
7,look,159
10,think,137
11,say,96
13,make,91
14,eat,84
15,sit,79
19,take,57
22,find,39
23,fall,38
24,hear,35
29,break,29
31,sing,28
34,tell,26
35,draw,26
36,sleep,25
37,buy,24
44,feel,20
50,run,17
52,throw,17
53,saw,16
55,hide,15
56,give,15
58,build,14
59,lie,14
62,leave,13
64,forget,12
69,stick,11
73,be,10
74,drink,10
78,wear,9
85,mean,8
95,stand,6
97,lose,6
100,hold,6
103,blow,5
109,wake,5
117,spill,4
119,fly,4
122,keep,4
124,bring,4
128,win,3
130,send,3
133,freeze,3
136,write,3
143,learn,3
144,bite,2
147,dig,2
157,show,2
159,begin,2
175,feed,2
181,grow,2
183,drive,2
188,swing,2
201,steal,1
205,teach,1
214,slide,1
219,hang,1
222,burn,1
225,fight,1
241,choose,1
246,lay,1
249,shake,1
250,sew,1
267,pay,1
