,kmin1,min1,kmin2,min2,pxminTn,pxminTr
Adam,1.616328498,3,1.680351809,13,15.68407986,55.55551846
Eve,1.577176867,1,1.467065056,1,10.94940936,30.29800484
Sarah,1.545011767,1,2.458190528,20,14.43519551,41.28374473
Peter,1.465631535,1,1.682686496,15,19.53096475,61.18568623
Naomi,1.505265099,1,3.0235379,24,12.41955514,30.04728191
Allison,2.245082521,5,2.049787488,5,8.214047316,26.87241112
April,3.611104315,5,3.611104315,5,6.004072483,15.99346216
Fraser,1.92323458,26,1.586593393,14,12.29191204,63.91861979
Adam's input,1.464348754,1,1.777222278,9,17.11916365,60.20052868
Eve's input,1.4659904,1,2.018637846,14,12.78880643,36.99591576
Sarah's input,1.507391324,1,1.857365914,15,17.03273546,59.36540694
Peter's input,1.480148739,1,1.811156187,55,22.60350113,72.21752835
Naomi's input,1.871922063,3,1.544959735,2,12.35899327,46.3040193
Allison's input,1.803698606,3,1.77120373,7,11.23375985,35.96071487
April's input,1.547054558,1,4.355441153,23,11.26997368,25.78702248
Fraser's input,1.887996966,45,1.59224222,29,13.85648272,79.49870624
