,k1,k2,pxTn,pxTr,pxTr<pxTn
Adam,1.419153217,1.26367408,17.310802,60.02920872,FALSE
Eve,1.577176867,1.467065056,10.94940936,30.29800484,FALSE
Sarah,1.545011767,1.361786941,14.43519551,46.84711197,FALSE
Peter,1.465631535,1.306758582,19.53096475,66.00563939,FALSE
Naomi,1.505265099,1.374047637,12.41955514,36.11708559,FALSE
Allison,1.50935361,1.439784366,10.71038883,29.36875264,FALSE
April,1.760579091,1.587270671,8.500413999,18.48980368,FALSE
Fraser,1.418885345,1.264919244,18.59329102,68.56976511,FALSE
Adam's input,1.464348754,1.28935502,17.11916365,63.84915724,FALSE
Eve's input,1.4659904,1.362083923,12.78880643,41.64706108,FALSE
Sarah's input,1.507391324,1.327507731,17.03273546,64.1853601,FALSE
Peter's input,1.480148739,1.254329616,22.60350113,80.99502421,FALSE
Naomi's input,1.529799805,1.381801903,13.9857154,47.3040193,FALSE
Allison's input,1.487306633,1.360187275,12.86048198,39.09382872,FALSE
April's input,1.547054558,1.39000072,11.26997368,31.7360291,FALSE
Fraser's input,1.422438422,1.235473563,21.91205477,86.12551715,FALSE
